Taxon	Annotation	Symbol	Feature Type	Segment	Used for Genome Quality	PubMed IDs*
Narmovirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Narmovirus	Matrix protein	M	CDS	Single RNA Segment	1	
Narmovirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Narmovirus	Phosphoprotein	P	CDS	Single RNA Segment	1	
Narmovirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Narmovirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Narmovirus	V protein	V	CDS	Single RNA Segment	0	32533018
Narmovirus	W protein	W	CDS	Single RNA Segment	0	32533018
Orthoavulavirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Orthoavulavirus	Matrix protein	M	CDS	Single RNA Segment	1	
Orthoavulavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthoavulavirus	Phosphoprotein	P	CDS	Single RNA Segment	1	
Orthoavulavirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthoavulavirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Orthoavulavirus	V protein	V	CDS	Single RNA Segment	0	32533018
Orthoavulavirus	W protein	W	CDS	Single RNA Segment	0	32533018
Orthoebolavirus	Matrix protein VP40	VP40	CDS	Single RNA Segment	1	
Orthoebolavirus	Mature C-terminal envelope glycoprotein Gc	Gc	mat_peptide	Single RNA Segment	1	10683320
Orthoebolavirus	Mature N-terminal envelope glycoprotein Gn	Gn	mat_peptide	Single RNA Segment	1	21411529;26051281
Orthoebolavirus	Mature delta peptide viroporin and enterotoxin	Delta	mat_peptide	Single RNA Segment	1	10603327;28539454;34986351
Orthoebolavirus	Mature soluble secreted glycoprotein sGP	sGP	mat_peptide	Single RNA Segment	1	10603327;28539454
Orthoebolavirus	Nucleocapsid maturation factor VP24 protein	VP24	CDS	Single RNA Segment	1	
Orthoebolavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthoebolavirus	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Single RNA Segment	1	21411529;26051281
Orthoebolavirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthoebolavirus	RNA-dependent RNA polymerase cofactor VP35 protein	VP35	CDS	Single RNA Segment	1	
Orthoebolavirus	Signal peptide of GPC	SP	mat_peptide	Single RNA Segment	1	9658086
Orthoebolavirus	Small soluble glycoprotein ssGP	ssGP	mat_peptide	Single RNA Segment	1	21411529;26051281
Orthoebolavirus	Soluble secreted glycoprotein sGP precursor	sGP_precursor	CDS	Single RNA Segment	1	10603327;28539454
Orthoebolavirus	Transcription activator protein VP30	VP30	CDS	Single RNA Segment	1	
Orthomarburgvirus	Matrix protein VP40	VP40	CDS	Single RNA Segment	1	
Orthomarburgvirus	Mature C-terminal envelope glycoprotein Gc	Gc	mat_peptide	Single RNA Segment	0	25786917;25723165;10683320
Orthomarburgvirus	Mature N-terminal envelope glycoprotein Gn	Gn	mat_peptide	Single RNA Segment	0	25786917;25723165;10683320
Orthomarburgvirus	Nucleocapsid maturation factor VP24 protein	VP24	CDS	Single RNA Segment	1	
Orthomarburgvirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthomarburgvirus	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Single RNA Segment	1	
Orthomarburgvirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthomarburgvirus	RNA-dependent RNA polymerase cofactor VP35 protein	VP35	CDS	Single RNA Segment	1	
Orthomarburgvirus	Signal peptide of GPC	SP	mat_peptide	Single RNA Segment	0	8437211
Orthomarburgvirus	Transcription activator protein VP30	VP30	CDS	Single RNA Segment	1	
Orthopneumovirus	Fusion glycoprotein precursor F0	F0	CDS	Single RNA Segment	1	
Orthopneumovirus	Matrix protein	M	CDS	Single RNA Segment	1	
Orthopneumovirus	Mature C-terminal fusion protein subunit	F1	mat_peptide	Single RNA Segment	1	11493675;34903371;37415824
Orthopneumovirus	Mature N-terminal fusion protein subunit	F2	mat_peptide	Single RNA Segment	1	11493675;34903371;37415824
Orthopneumovirus	Mature p27 protein	p27	mat_peptide	Single RNA Segment	1	11493675;34903371;37415824
Orthopneumovirus	Nonstructural NS1 protein	NS1	CDS	Single RNA Segment	0	
Orthopneumovirus	Nonstructural NS2 protein	NS2	CDS	Single RNA Segment	0	
Orthopneumovirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthopneumovirus	Phosphoprotein	P	CDS	Single RNA Segment	1	
Orthopneumovirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthopneumovirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	26658574
Orthopneumovirus	Signal peptide of F0	SP	mat_peptide	Single RNA Segment	1	25078705;37415824
Orthopneumovirus	Small hydrophobic protein	SH	CDS	Single RNA Segment	1	
Orthopneumovirus	Transcription elongation factor M2-1	M2-1	CDS	Single RNA Segment	1	
Orthopneumovirus	Transcription-replication factor M2-2	M2-2	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Fusion glycoprotein precursor F0	F0	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Matrix protein	M	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Mature C-terminal fusion protein subunit	F1	mat_peptide	Single RNA Segment	1	1629698
Orthopneumovirus_muris	Mature N-terminal fusion protein subunit	F2	mat_peptide	Single RNA Segment	1	1629698
Orthopneumovirus_muris	Nonstructural NS1 protein	NS1	CDS	Single RNA Segment	0	
Orthopneumovirus_muris	Nonstructural NS2 protein	NS2	CDS	Single RNA Segment	0	
Orthopneumovirus_muris	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Phosphoprotein	P	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Receptor binding protein	RBP	CDS	Single RNA Segment	1	26658574
Orthopneumovirus_muris	Signal peptide of F0	SP	mat_peptide	Single RNA Segment	0	1629698
Orthopneumovirus_muris	Small hydrophobic protein	SH	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Transcription elongation factor M2-1	M2-1	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Transcription-replication factor M2-2	M2-2	CDS	Single RNA Segment	1	
Orthopneumovirus_muris	Uncharacterized P2 protein	P2	CDS	Single RNA Segment	0	
Orthorubulavirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Orthorubulavirus	I protein	I	CDS	Single RNA Segment	0	22090137;2165137
Orthorubulavirus	Matrix protein	M	CDS	Single RNA Segment	1	
Orthorubulavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Orthorubulavirus	Phosphoprotein	P	CDS	Single RNA Segment	1	22090137;2165137
Orthorubulavirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Orthorubulavirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Orthorubulavirus	Small hydrophobic protein	SH	CDS	Single RNA Segment	0	
Orthorubulavirus	V protein	V	CDS	Single RNA Segment	0	
Paraavulavirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Paraavulavirus	Matrix protein	M	CDS	Single RNA Segment	1	
Paraavulavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Paraavulavirus	Phosphoprotein	P	CDS	Single RNA Segment	1	
Paraavulavirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Paraavulavirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Paraavulavirus	V protein	V	CDS	Single RNA Segment	0	32533018
Paraavulavirus	W protein	W	CDS	Single RNA Segment	0	32533018
Pararubulavirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Pararubulavirus	Matrix protein	M	CDS	Single RNA Segment	1	
Pararubulavirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Pararubulavirus	Phosphoprotein	P	CDS	Single RNA Segment	1	34141448
Pararubulavirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Pararubulavirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Pararubulavirus	V protein	V	CDS	Single RNA Segment	0	
Pararubulavirus	W protein	W	CDS	Single RNA Segment	0	34141448
Peribunyaviridae	Mature C-terminal envelope glycoprotein Gc	Gc	mat_peptide	Medium RNA Segment	0	
Peribunyaviridae	Mature N-terminal envelope glycoprotein Gn	Gn	mat_peptide	Medium RNA Segment	0	
Peribunyaviridae	Mature nonstructural membrane protein	Nsm	mat_peptide	Medium RNA Segment	0	
Peribunyaviridae	Nucleocapsid protein	N	CDS	Small RNA Segment	1	
Peribunyaviridae	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Medium RNA Segment	1	
Peribunyaviridae	RNA-dependent RNA polymerase	L	CDS	Large RNA Segment	1	
Peribunyaviridae	Small nonstructural NSs protein	NSs	CDS	Small RNA Segment	0	
Phasmaviridae	Nucleocapsid protein	N	CDS	Small RNA Segment	1	
Phasmaviridae	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Medium RNA Segment	1	
Phasmaviridae	RNA-dependent RNA polymerase	L	CDS	Large RNA Segment	1	
Phasmaviridae	Small nonstructural NSs protein	NSs	CDS	Small RNA Segment	0	
Phasmaviridae	Uncharacterized lineage-specific protein		CDS		0	
Phenuiviridae	Mature C-terminal envelope glycoprotein Gc	Gc	mat_peptide	Medium RNA Segment	0	
Phenuiviridae	Mature N-terminal envelope glycoprotein Gn	Gn	mat_peptide	Medium RNA Segment	0	
Phenuiviridae	Mature nonstructural 78-kDa protein	78_KDa	mat_peptide	Medium RNA Segment	0	
Phenuiviridae	Mature nonstructural membrane protein	Nsm	mat_peptide	Medium RNA Segment	0	
Phenuiviridae	Movement protein	Mov	CDS		0	
Phenuiviridae	Nonstructural NS5 protein	NS5	CDS		0	
Phenuiviridae	Nucleocapsid protein	N	CDS	Small RNA Segment	1	
Phenuiviridae	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Medium RNA Segment	0	
Phenuiviridae	RNA-dependent RNA polymerase	L	CDS	Large RNA Segment	1	
Phenuiviridae	Small nonstructural NSs protein	NSs	CDS		0	
Phenuiviridae	Uncharacterized lineage-specific Pc3 protein	Pc3	CDS		0	
Respirovirus	C protein	C	CDS	Single RNA Segment	0	
Respirovirus	C-prime protein	C-Prime	CDS	Single RNA Segment	0	
Respirovirus	Fusion glycoprotein	F	CDS	Single RNA Segment	1	
Respirovirus	Matrix protein	M	CDS	Single RNA Segment	1	
Respirovirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Respirovirus	Phosphoprotein	P	CDS	Single RNA Segment	1	
Respirovirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Respirovirus	Receptor binding protein	RBP	CDS	Single RNA Segment	1	
Respirovirus	V protein	V	CDS	Single RNA Segment	0	2167560;2924348;27567257;9514977;37243262
Respirovirus	W protein	W	CDS	Single RNA Segment	0	2167560;2924348;27567257;9514977;37243262
Respirovirus	Y1 protein	Y1	CDS	Single RNA Segment	0	
Respirovirus	Y2 protein	Y2	CDS	Single RNA Segment	0	
Tospoviridae	Movement protein	Mov	CDS	Medium RNA Segment	1	
Tospoviridae	Nucleocapsid protein	N	CDS	Small RNA Segment	1	
Tospoviridae	Pre-glycoprotein polyprotein GP complex	GPC	CDS	Medium RNA Segment	1	
Tospoviridae	RNA silencing suppressor protein	NSs	CDS	Small RNA Segment	1	
Tospoviridae	RNA-dependent RNA polymerase	L	CDS	Large RNA Segment	1	
* Papers that were useful in determining protein functions or coordinates						
Togaviridae	Nonstructural polyprotein	nsP1234	CDS	Single RNA Segment	1	
Togaviridae	mRNA-capping enzyme nsP1 protein	nsP1	mat_peptide	Single RNA Segment	1	
Togaviridae	Protease nsP2 protein	nsP2	mat_peptide	Single RNA Segment	1	
Togaviridae	Nonstructural protein nsP3	nsP3	mat_peptide	Single RNA Segment	1	
Togaviridae	RNA-dependent RNA polymerase	nsP4	mat_peptide	Single RNA Segment	1	
Togaviridae	Structural polyprotein	STP	CDS	Single RNA Segment	1	
Togaviridae	Nucleocapsid protein	C	mat_peptide	Single RNA Segment	1	
Togaviridae	Mature envelope glycoprotein E3	E3	mat_peptide	Single RNA Segment	1	
Togaviridae	Mature envelope glycoprotein E2	E2	mat_peptide	Single RNA Segment	1	
Togaviridae	Mature 6K membrane protein	6K	mat_peptide	Single RNA Segment	1	
Togaviridae	Mature envelope glycoprotein E1	E1	mat_peptide	Single RNA Segment	1	
Togaviridae	Envelope glycoprotein precursor pE2	pE2	mat_peptide	Single RNA Segment	1	
Togaviridae	Nonstructural polyprotein P123	nsP123	CDS	Single RNA Segment	1	
Togaviridae	TransFrame protein	TF	mat_peptide	Single RNA Segment	0	18822126;23720714
Matonaviridae	Nonstructural polyprotein	p200	CDS	Single RNA Segment	1	
Matonaviridae	Protease p150 protein	p150	mat_peptide	Single RNA Segment	1	
Matonaviridae	RNA-dependent RNA polymerase	p90	mat_peptide	Single RNA Segment	1	
Matonaviridae	Structural polyprotein	p110	CDS	Single RNA Segment	1	
Matonaviridae	Nucleocapsid protein	C	mat_peptide	Single RNA Segment	1	
Matonaviridae	Mature envelope glycoprotein E2	E2	mat_peptide	Single RNA Segment	1	
Matonaviridae	Mature envelope glycoprotein E1	E1	mat_peptide	Single RNA Segment	1	
Hepeviridae	Nonstructural polyprotein	ORF1	CDS	Single RNA Segment	1	
Hepeviridae	Nucleocapsid protein	ORF2	CDS	Single RNA Segment	1	
Hepeviridae	Membrane-associated viroporin required for virion release ORF3 protein	ORF3	CDS	Single RNA Segment	1	
Hepeviridae	Uncharacterized lineage-specific protein	Roca_ORF4	CDS	Single RNA Segment	0	
Tobamovirus	Methyltransferase and helicase replication protein	126K	CDS	Single RNA Segment	1	
Tobamovirus	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Tobamovirus	Movement protein	Mov	CDS	Single RNA Segment	1	
Tobamovirus	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Trivirinae	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Trivirinae	Movement protein	Mov	CDS	Single RNA Segment	1	
Trivirinae	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Trivirinae	Nucleic acid-binding protein	NABP	CDS	Single RNA Segment	0	
Trivirinae	Uncharacterized lineage-specific protein	Viti_ORF2	CDS	Single RNA Segment	0	
Alphaflexiviridae	RNA-dependent RNA polymerase	L	CDS	Single RNA Segment	1	
Alphaflexiviridae	Triple gene block protein 1	TGB1	CDS	Single RNA Segment	1	
Alphaflexiviridae	Triple gene block protein 2	TGB2	CDS	Single RNA Segment	1	
Alphaflexiviridae	Triple gene block protein 3	TGB3	CDS	Single RNA Segment	1	
Alphaflexiviridae	Nucleocapsid protein	N	CDS	Single RNA Segment	1	
Alphaflexiviridae	Nucleic acid-binding protein	NABP	CDS	Single RNA Segment	0	
Alphaflexiviridae	Uncharacterized lineage-specific protein	Allexi_40K	CDS	Single RNA Segment	0	
