P200	Nonstructural polyprotein
P150	Protease p150 protein
P90	RNA-dependent RNA polymerase
P110	Structural polyprotein
C	Nucleocapsid protein
E2	Mature envelope glycoprotein E2
E1	Mature envelope glycoprotein E1
